RR,1
695F,107799,1632551,-81,3314,0
696C,107804,1632556,-80,2172,0
6E02,107810,1632562,-81,707,0
6E49,107816,1632568,-80,1643,0
695F,107821,1632573,-81,3305,0
696C,107827,1632579,-80,2153,0
6E02,107833,0,0,ERR,1
6E49,107838,1632590,-80,1643,0
695F,107844,1632596,-81,3324,0
696C,107849,1632601,-80,2181,0
6E02,107855,1632607,-80,717,0
6E49,107861,1632613,-81,1587,0
695F,107867,1632618,-81,3305,0
696C,107872,1632624,-80,2181,0
6E02,107878,0,0,ERR,1
6E49,107883,1632635,-80,1605,0
695F,107889,1632641,-81,3305,0
696C,107894,1632646,-80,2153,0
6E02,107900,0,0,ERR,1
6E49,107905,0,0,ERR,1
695F,107910,1632662,-81,3305,0
696C,107916,1632668,-80,2181,0
6E02,107922,1632674,-80,736,0
6E49,107927,1632679,-81,1549,0
695F,107933,0,0,ERR,1
696C,107938,1632690,-80,2162,0
6E02,107945,0,0,ERR,1
6E49,107950,1632702,-80,1662,0
695F,107956,1632708,-81,3305,0
696C,107962,1632714,-80,2172,0
6E02,107967,1632719,-80,698,0
6E49,107973,1632725,-80,1671,0
695F,107979,1632731,-81,3296,0
696C,107985,1632737,-80,2144,0
6E02,107990,1632742,-80,679,0
6E49,107996,1632748,-81,1643,0
695F,108002,1632754,-81,3305,0
696C,108007,1632759,-80,2162,0
6E02,108013,1632765,-80,726,0
6E49,108019,1632771,-80,1587,0
695F,108025,1632777,-81,3305,0
696C,108030,1632782,-80,2181,0
6E02,108036,0,0,ERR,1
6E49,108041,1632793,-80,1624,0
695F,108047,1632799,-81,3287,0
696C,108053,1632804,-80,2172,0
6E02,108058,1632810,-81,707,0
6E49,108064,1632816,-80,1662,0
695F,108070,1632822,-82,3314,0
696C,108075,1632827,-80,2162,0
6E02,108081,1632833,-80,707,0
6E49,108087,1632839,-80,1605,0
695F,108093,1632844,-81,3305,0
696C,108098,1632850,-80,2162,0
6E02,108104,1632856,-80,679,0
6E49,108111,0,0,ERR,1
695F,108116,0,0,ERR,1
696C,108121,1632873,-80,2144,0
6E02,108127,1632879,-81,726,0
6E49,108132,0,0,ERR,1
695F,108138,1632890,-81,3306,0
696C,108143,1632895,-80,2134,0
6E02,108149,1632901,-81,698,0
6E49,108155,1632907,-80,1643,0
695F,108161,1632912,-81,3305,0
696C,108166,1632918,-80,2162,0
6E02,108172,0,0,ERR,1
6E49,108177,1632929,-81,1652,0
695F,108183,1632935,-81,3287,0
696C,108188,1632940,-80,2181,0
6E02,108194,1632946,-80,717,0
6E49,108200,1632952,-80,1587,0
695F,108206,1632957,-81,3371,0
696C,108211,1632963,-80,2172,0
6E02,108217,0,0,ERR,1
6E49,108222,1632974,-80,1634,0
695F,108228,1632980,-81,3263,0
696C,108234,1632985,-80,2162,0
6E02,108239,0,0,ERR,1
6E49,108244,1632996,-80,1662,0
695F,108250,1633002,-81,3300,0
696C,108256,1633008,-80,2153,0
6E02,108261,1633013,-80,707,0
6E49,108267,0,0,ERR,1
695F,108272,1633024,-82,3292,0
696C,108278,1633030,-80,2162,0
6E02,108284,1633035,-80,698,0
6E49,108289,1633041,-80,1591,0
695F,108295,1633047,-81,3300,0
696C,108301,1633053,-80,2162,0
6E02,108306,0,0,ERR,1
6E49,108311,1633063,-80,1582,0
695F,108317,1633069,-81,3310,0
696C,108323,1633075,-80,2191,0
6E02,108328,0,0,ERR,1
6E49,108333,0,0,ERR,1
695F,108339,1633091,-82,3282,0
696C,108344,1633096,-80,2153,0
6E02,108350,1633102,-80,670,0
6E49,108356,1633108,-80,1648,0
695F,108362,1633113,-82,3292,0
696C,108367,1633119,-80,2153,0
6E02,108373,1633125,-80,745,0
6E49,108379,1633131,-80,1629,0
695F,108384,1633136,-81,3319,0
696C,108390,1633142,-80,2153,0
6E02,108397,0,0,ERR,1
6E49,108402,1633154,-80,1620,0
695F,108408,1633160,-81,3292,0
696C,108414,1633166,-80,2153,0
6E02,108420,1633171,-80,707,0
6E49,108425,1633177,-81,1610,0
695F,108431,1633183,-81,3273,0
696C,108437,1633189,-80,2134,0
6E02,108442,0,0,ERR,1
6E49,108447,1633199,-80,1620,0
695F,108453,1633205,-81,3338,0
696C,108459,1633211,-80,2125,0
6E02,108464,0,0,ERR,1
6E49,108470,1633221,-80,1601,0
695F,108475,1633227,-81,3300,0
696C,108481,1633233,-80,2181,0
6E02,108488,0,0,ERR,1
6E49,108493,0,0,ERR,1
695F,108498,1633250,-82,3301,0
696C,108504,1633256,-80,2191,0
6E02,108511,0,0,ERR,1
6E49,108516,1633268,-80,1610,0
695F,108522,1633274,-81,3282,0
696C,108528,1633280,-80,2200,0
6E02,108533,1633285,-80,670,0
6E49,108539,1633291,-80,1610,0
695F,108545,1633297,-81,3292,0
696C,108551,1633302,-80,2144,0
6E02,108556,1633308,-81,717,0
6E49,108562,1633314,-80,1610,0
695F,108568,1633320,-82,3310,0
696C,108573,1633325,-80,2162,0
6E02,108579,1633331,-80,698,0
6E49,108585,1633337,-80,1620,0
695F,108591,1633342,-81,3292,0
696C,108596,1633348,-80,2125,0
6E02,108602,1633354,-80,679,0
6E49,108608,1633360,-80,1610,0
695F,108613,1633365,-81,3282,0
696C,108619,1633371,-80,2144,0
6E02,108626,0,0,ERR,1
6E49,108631,0,0,ERR,1
695F,108636,1633388,-82,3310,0
696C,108642,1633394,-80,2162,0
6E02,108649,0,0,ERR,1
6E49,108654,1633406,-80,1629,0
695F,108660,1633412,-81,3300,0
696C,108666,1633418,-80,2144,0
6E02,108671,0,0,ERR,1
6E49,108677,1633428,-80,1620,0
695F,108682,1633434,-81,3292,0
