Æ÷{+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&eì¨+)%&†C‘î%í¯Q«$'C½•©eí¨+-%&C¨•«åíª+/%&C!&µ%í­++%&C)*¥•B©+k%&C«Ól%í©+h%'CS•ë%m«Qì%'S¯•oeì¯+«%&Sb&­%­©+è%'S­‘(d­©+î%'¦„–…ÄC©+m%&list size: 4
Calibration result:
Anchors found: 4
ANCHOR,0x6E49,1604,963,1900
ANCHOR,0x695F,539,4778,650
ANCHOR,0x696C,2054,-1132,1900
ANCHOR,0x6E02,3182,1316,1400
Starting positioning: 
8164,ERROR,0xA,,1
8177,2320,1457,1057,0
8190,2284,1439,1038,0
8203,2353,1443,1061,0
8216,2333,1444,1061,0
8228,2318,1452,1080,0
8241,2156,1430,1359,0
8254,2325,1441,1051,0
8265,2296,1437,1048,0
8278,2145,1435,1363,0
8291,2341,1440,1061,0
8303,2306,1447,1042,0
8316,2309,1445,1073,0
8329,2308,1463,1050,0
8342,2291,1443,1026,0
8355,2340,1450,1056,0
8366,2323,1474,1065,0
8378,2351,1474,1065,0
8391,2325,1449,1069,0
8402,2309,1445,1030,0
8414,2295,1433,1027,0
8425,2338,1446,1048,0
8438,2324,1462,1043,0
8451,2283,1461,1041,0
8462,2323,1445,1056,0
8475,2313,1441,1009,0
8487,2325,1483,1060,0
8498,2341,1464,1012,0
8511,2331,1457,1066,0
8523,2343,1437,1004,0
8536,2335,1450,1034,0
8549,2293,1450,1017,0
8562,2300,1470,1018,0
8575,2332,1454,1002,0
8586,2317,1441,1030,0
8598,2310,1436,983,0
8609,2304,1453,1007,0
8622,2279,1449,1031,0
8634,2314,1448,984,0
8647,2306,1460,1039,0
8658,2328,1456,1009,0
8670,2296,1444,990,0
8683,2361,1454,1020,0
8694,2329,1464,1024,0
8706,2319,1443,1053,0
8719,2126,1419,1367,0
8732,2328,1453,1039,0
8745,2342,1472,1053,0
8758,2292,1440,991,0
8769,2340,1460,1027,0
8782,2345,1459,1057,0
8795,2310,1444,954,0
8807,2343,1466,1029,0
8820,2336,1462,1081,0
8831,2317,1444,1000,0
8843,2359,1464,1061,0
8854,2344,1451,1015,0
8867,2332,1423,1025,0
8880,2322,1427,997,0
8892,2367,1453,1050,0
8905,2295,1424,1008,0
8918,2336,1455,1103,0
8931,2318,1450,1048,0
8944,2355,1458,1069,0
8955,2322,1446,1044,0
8967,2327,1453,1077,0
8980,2290,1426,1007,0
8991,2319,1463,1016,0
9004,2360,1462,1062,0
9019,2299,1453,1071,0
9032,2333,1416,1029,0
9045,2307,1424,1036,0
9058,2337,1444,1061,0
9071,2318,1437,1070,0
9084,2322,1462,1050,0
9097,2263,1443,1004,0
9111,2342,1448,1021,0
9124,2363,1440,1048,0
9137,2280,1448,1036,0
9150,2251,1435,1005,0
9165,2173,1394,1367,0
9178,2338,1444,1068,0
9191,2286,1459,1025,0
9204,2339,1498,1054,0
9217,2298,1432,1011,0
9231,2311,1466,1077,0
9246,2290,1444,1029,0
9257,2120,1428,1359,0
9272,2107,1414,1368,0
9285,2374,1441,1039,0
9298,2296,1463,1008,0
9312,2285,1472,1048,0
9325,2290,1428,1042,0
9337,2278,1450,1032,0
9351,2318,1443,1043,0
9364,2329,1470,1030,0
9377,2289,1464,1054,0
9390,2324,1475,1055,0
9403,2351,1455,1091,0
9416,2350,1455,1069,0
9429,2302,1451,1061,0
9442,2288,1457,1028,0
9458,3087,627,1664,0
9471,2152,1416,1367,0
9484,2316,1462,1066,0
9497,2293,1469,1061,0
9511,2309,1442,1054,0
9524,2328,1457,1079,0
9537,2314,1458,1057,0
9552,2312,1438,1063,0
9566,2331,1461,1046,0
9579,2310,1476,1076,0
9592,2328,1471,1072,0
9605,2320,1494,1094,0
9617,2328,1440,1052,0
9630,2270,1453,1029,0
9643,2335,1481,1074,0
9657,2307,1454,1019,0
9670,2291,1470,1080,0
9685,2318,1448,1043,0
9698,2334,1457,1073,0
9711,2300,1440,1042,0
9724,2338,1443,1077,0
9737,2340,1447,1032,0
9751,2309,1472,1075,0
9766,2320,1452,1003,0
9780,2275,1465,1036,0
9793,2330,1456,1056,0
9806,2333,1447,1076,0
9819,2341,1439,1043,0
9832,2329,1449,1067,0
9845,2319,1460,1042,0
9860,2281,1433,1051,0
9873,2143,1428,1364,0
9886,2283,1444,1048,0
9900,2332,1471,1076,0
9913,2325,1461,1085,0
9926,2317,1462,1051,0
9939,2324,1459,1056,0
9951,2313,1467,1061,0
9962,2323,1463,1060,0
9975,2318,1450,1083,0
9988,2308,1460,1054,0
10001,2332,1457,1064,0
10014,2319,1443,1056,0
10026,2338,1481,1088,0
10039,2301,1453,1034,0
10052,2338,1461,1040,0
10065,2331,1455,1074,0
10078,2311,1465,1028,0
10093,1322,1180,718,0
10106,2331,1461,1077,0
10119,2344,1463,1041,0
10132,2339,1457,1077,0
10145,2322,1418,1046,0
10158,2354,1450,1072,0
10171,2360,1455,1033,0
10183,2313,1473,1082,0
10194,2276,1436,1025,0
10207,2297,1472,1020,0
10221,2303,1426,1055,0
10232,2324,1466,999,0
10245,2319,1458,1052,0
10258,2356,1455,1069,0
10271,2332,1461,1046,0
10284,2150,1416,1368,0
10296,2374,1473,1055,0
10309,2341,1448,1078,0
10322,2315,1446,1007,0
10335,2338,1461,1040,0
10348,2360,1451,1070,0
10361,2296,1400,1018,0
10374,2184,1423,1367,0
10387,2336,1439,1039,0
10399,2283,1454,1016,0
10412,2348,1433,1042,0
10424,2287,1447,1055,0
10435,2326,1469,1058,0
10448,2352,1454,1041,0
10461,2351,1459,1074,0
10474,2332,1457,1064,0
10487,2299,1434,1054,0
10501,2360,1460,1027,0
10512,2309,1461,1062,0
10525,2174,1429,1366,0
10538,2341,1472,1063,0
10550,2301,1456,1020,0
10563,2312,1467,1058,0
10576,2295,1429,1056,0
10589,2312,1443,992,0
10601,2349,1443,1031,0
10612,2271,1462,1024,0
10624,2330,1456,1084,0
10637,2324,1433,1046,0
10648,2324,1440,995,0
10661,2309,1441,1034,0
10675,2332,1448,1098,0
10688,2370,1436,1046,0
10701,2351,1445,1003,0
10714,2316,1457,1050,0
10727,2176,1419,1366,0
10738,2290,1462,1025,0
10751,2280,1439,1014,0
10765,2266,1444,988,0
10778,2347,1473,1068,0
10792,1321,1152,658,0
10805,2306,1449,1028,0
10820,2311,1452,1039,0
10833,2333,1472,1109,0
10846,2340,1454,1009,0
10859,2345,1432,1065,0
10872,2358,1445,1032,0
10883,2305,1450,1030,0
10897,2287,1435,1034,0
10911,2342,1438,1073,0
10924,2353,1465,1073,0
10937,2313,1456,1045,0
10950,2387,1480,1066,0
10963,2278,1450,1037,0
10975,2299,1455,1069,0
10990,2283,1450,1031,0
11003,2312,1451,1044,0
11014,2306,1450,1046,0
11029,2143,1395,1369,0
11042,2329,1418,1030,0
11055,2304,1450,1054,0
11068,2319,1474,1073,0
11081,2122,1422,1366,0
11094,2291,1473,1033,0
11109,2291,1453,989,0
11122,2359,1422,1089,0
11135,2311,1445,1036,0
11148,2107,1407,1371,0
11161,2304,1437,1058,0
11174,2355,1461,1065,0
11187,2131,1409,1362,0
11200,2325,1450,1058,0
11213,2268,1419,994,0
11226,2294,1440,1069,0
11241,1326,1149,712,0
11254,2305,1442,1016,0
11268,2304,1449,1044,0
11280,2312,1453,1064,0
11293,2301,1450,1045,0
11308,2335,1447,1076,0
11321,2316,1437,1051,0
11332,2322,1448,1034,0
11344,2376,1429,1037,0
11357,2365,1465,1033,0
11370,2329,1455,1040,0
11383,2333,1466,1096,0
11396,2329,1453,1028,0
11409,2349,1459,1034,0
11422,2350,1469,1046,0
11437,2334,1460,1058,0
11450,2349,1464,1088,0
11463,2307,1457,1071,0
11476,2324,1422,1025,0
11489,2327,1457,1022,0
11502,2330,1453,1036,0
11517,2318,1448,1067,0
11528,2320,1445,1082,0
11543,2324,1473,1049,0
11557,2356,1490,1037,0
11571,2315,1435,1078,0
11584,2345,1464,1099,0
11598,2330,1456,1065,0
11611,2342,1478,1074,0
11623,2346,1442,1025,0
11636,2349,1441,1010,0
11649,2342,1450,1007,0
11662,2129,1420,1367,0
11675,2394,1451,1049,0
11688,2326,1453,1033,0
11701,2351,1452,1021,0
11713,2333,1449,1014,0
11724,2361,1459,1034,0
11736,2342,1452,1044,0
11749,2322,1459,1065,0
11762,2324,1449,1068,0
11775,2340,1462,1076,0
11788,2343,1438,1049,0
11800,2357,1450,1052,0
11811,2355,1447,1062,0
11823,2318,1452,1049,0
11836,2301,1462,1001,0
11848,2326,1435,1008,0
11861,2316,1456,1039,0
11874,2294,1438,981,0
11887,2341,1463,1089,0
11898,2299,1462,1021,0
11910,2317,1452,1029,0
11921,2355,1435,1066,0
11935,2346,1469,1082,0
11946,2318,1457,1030,0
11959,2312,1448,1069,0
11972,2286,1445,1030,0
11985,2336,1462,1059,0
11998,2298,1463,1017,0
12011,2320,1458,1064,0
12024,2327,1453,1038,0
12036,2381,1465,1055,0
12049,2391,1450,1024,0
12061,2326,1417,1020,0
12074,2341,1452,1025,0
12085,2284,1450,1035,0
12097,2334,1434,1015,0
12110,2315,1461,1016,0
12122,2252,1425,988,0
12135,2303,1415,1000,0
12148,2359,1467,1078,0
12161,2285,1416,940,0
12174,2352,1448,1063,0
12187,2313,1465,1007,0
12198,2340,1450,1027,0
12211,2338,1457,988,0
12224,2352,1429,1004,0
12237,2343,1472,1051,0
12251,2315,1463,976,0
12262,2356,1459,1033,0
12275,2285,1442,933,0
12287,2333,1444,1017,0
12300,2365,1465,1015,0
